Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.4580963014536068	0.21774826756966653	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
1	0.58901219263687	0.3016757848691879	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
2	0.6091372605624237	0.3115761073871416	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
3	0.6152357016709686	0.31066351979222495	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
4	0.6219369820676539	0.31758254048770873	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
7	0.6222235429968754	0.33412730409676594	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
11	0.6339831544627089	0.3487474354258139	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
12	0.6508371824480369	0.3550835047103107	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
13	0.6543183670696917	0.3601723675308086	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
17	0.6559528257030296	0.3664742196055083	0.7609841827768014	0.5	0.0	0.0	0.0	0.0	0.0
18	0.6630977448716207	0.37051530578102176	0.7601054481546573	0.49942263279445726	0.0	0.0	-0.0017541031180474675	0.0	0.0
19	0.6683280124983018	0.37579273710904926	0.7601054481546573	0.5006835008830323	0.3333333333333333	0.003676470588235294	0.002068624364797378	0.003676470588235294	0.007272727272727274
20	0.682388602092107	0.3957264415110968	0.7636203866432337	0.5080364420595028	0.7142857142857143	0.01838235294117647	0.024138172869101915	0.01838235294117647	0.035842293906810034
25	0.6845622198070914	0.40991716754657515	0.7644991212653779	0.5123964135307703	0.6666666666666666	0.029411764705882353	0.03688452113280938	0.029411764705882353	0.056338028169014086
57	0.6925349816601005	0.41529551362520445	0.7539543057996485	0.5874244328216275	0.474025974025974	0.26838235294117646	0.20541031191086556	0.26838235294117646	0.3427230046948357
66	0.6937661323189784	0.4101740141496999	0.7521968365553603	0.602660983562016	0.4725274725274725	0.3161764705882353	0.23160394977540677	0.3161764705882353	0.3788546255506608
70	0.6943689716071186	0.41370469713043384	0.7407732864674869	0.6128073631300095	0.4484304932735426	0.36764705882352944	0.24047167634242694	0.36764705882352944	0.4040404040404041
72	0.7046299755468006	0.41363750827417245	0.7381370826010545	0.6110752615133814	0.4424778761061947	0.36764705882352944	0.23582856370273564	0.36764705882352944	0.4016064257028113
117	0.7091597609020514	0.4437972198795237	0.7530755711775043	0.6208905040076077	0.4784688995215311	0.36764705882352944	0.2626440571663109	0.36764705882352944	0.4158004158004158
136	0.7154513653036272	0.4587855415088926	0.7644991212653779	0.6347006181225378	0.5097087378640777	0.3860294117647059	0.2938550590414447	0.3860294117647059	0.43933054393305443
141	0.7166952520038039	0.4521683511679687	0.7636203866432337	0.6265580423855455	0.5076923076923077	0.3639705882352941	0.2803327017204008	0.3639705882352941	0.4239828693790149
