Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.5824389012709563	0.3049452935075047	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
2	0.584682645950351	0.3320130557519195	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
3	0.5864066289928602	0.34251140767074195	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
4	0.596125957708942	0.3328231017055192	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
5	0.6074580447551131	0.33835376355731905	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
6	0.6192606978922918	0.34147235957884786	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
8	0.6344514268847241	0.35634858329326186	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
10	0.6405260073322752	0.36610799373203734	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
11	0.6458391262871052	0.3585135498618788	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
12	0.6533168492605694	0.36981687699699284	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
13	0.6577572820102583	0.3660775412670161	0.7636203866432337	0.5	0.0	0.0	0.0	0.0	0.0
14	0.6645548230885392	0.38032010021923845	0.7653778558875219	0.5101342824508793	0.5833333333333334	0.026022304832713755	0.030243647110640315	0.026022304832713755	0.0498220640569395
17	0.6841218167273411	0.4163361978940271	0.7697715289982425	0.514294514482741	0.8888888888888888	0.02973977695167286	0.04290547698075908	0.02973977695167286	0.05755395683453238
18	0.6874735306573809	0.4057477349868618	0.7662565905096661	0.5132763805767429	0.6	0.03345724907063197	0.039394266347636875	0.03345724907063197	0.06338028169014084
30	0.6887461980398784	0.40092271221713827	0.7495606326889279	0.5523953952969058	0.42857142857142855	0.17843866171003717	0.13123255527399946	0.17843866171003717	0.25196850393700787
37	0.6916508741834608	0.409940839958381	0.7609841827768014	0.5739922399373719	0.48760330578512395	0.21933085501858737	0.18268281219469695	0.21933085501858737	0.30256410256410254
39	0.7022813899666753	0.42968084826733405	0.7706502636203867	0.6047052331227194	0.527027027027027	0.2899628252788104	0.2479071816713173	0.2899628252788104	0.3741007194244604
40	0.705673743695484	0.43240032178908305	0.7706502636203867	0.5777546297286544	0.5377358490566038	0.21189591078066913	0.19664504681896122	0.21189591078066913	0.30399999999999994
41	0.7072223339222539	0.42957903990669893	0.7574692442882249	0.5986413473590547	0.47904191616766467	0.29739776951672864	0.2269973075541073	0.29739776951672864	0.3669724770642202
42	0.7209885310210001	0.4567519952387711	0.7768014059753954	0.6151496614063081	0.5496688741721855	0.30855018587360594	0.27139911575360076	0.30855018587360594	0.3952380952380952
43	0.7246418350366399	0.4543440120220518	0.7706502636203867	0.6213889399857119	0.5229885057471264	0.3382899628252788	0.27648700922240466	0.3382899628252788	0.4108352144469526
59	0.726900552273476	0.4574740557385789	0.7671353251318102	0.6486047715401628	0.5089285714285714	0.42379182156133827	0.31542579031240214	0.42379182156133827	0.4624746450304259
84	0.7273368953760464	0.45316335086744897	0.7706502636203867	0.6047052331227194	0.527027027027027	0.2899628252788104	0.2479071816713173	0.2899628252788104	0.3741007194244604
134	0.7344210539824865	0.4883018653866276	0.7750439367311072	0.6319659823494937	0.5359116022099447	0.36059479553903345	0.29753425186028226	0.36059479553903345	0.43111111111111106
191	0.7376037919071188	0.4511706508567261	0.7627416520210897	0.6239107464461565	0.49743589743589745	0.36059479553903345	0.27382646139884004	0.36059479553903345	0.4181034482758621
