Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL	f1_scores
0	0.5575493870291558	0.2826474761672497	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
1	0.5667577124224523	0.28609707586344457	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
2	0.6021723940799084	0.3044208026631573	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
3	0.6045247623282306	0.3072736588248386	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
11	0.6195896588960172	0.3263590396276552	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
12	0.6222109297253806	0.32480710468740864	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
13	0.6458616527980691	0.34433564259861565	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
15	0.6481060365453429	0.34343650540584514	0.7601054481546573	0.5	0.0	0.0	0.0	0.0	0.0
22	0.665616464460395	0.3612138620962178	0.7609841827768014	0.5018315018315018	1.0	0.003663003663003663	0.0055579472219902115	0.003663003663003663	0.0072992700729927005
27	0.675953333756802	0.3947220475875589	0.7644991212653779	0.5229456478011391	0.5925925925925926	0.05860805860805861	0.06635073991758955	0.05860805860805861	0.10666666666666667
28	0.680255775053463	0.4218831135990354	0.7706502636203867	0.5269918905757056	0.8	0.05860805860805861	0.0790539325424634	0.05860805860805861	0.1092150170648464
35	0.6962501852675262	0.43540658066541305	0.7706502636203867	0.5558216350123865	0.5909090909090909	0.14285714285714285	0.15076083786519345	0.14285714285714285	0.2300884955752212
39	0.7039742531072011	0.4509313732202722	0.7715289982425307	0.575201676935781	0.5684210526315789	0.1978021978021978	0.19359849992096245	0.1978021978021978	0.2934782608695652
65	0.7092167947659278	0.4667638341769753	0.7706502636203867	0.6122276567363273	0.5384615384615384	0.3076923076923077	0.263030176713165	0.3076923076923077	0.39160839160839167
66	0.709932456753266	0.46537732184631597	0.7662565905096661	0.6243790891189736	0.518918918918919	0.3516483516483517	0.27959942312360486	0.3516483516483517	0.4192139737991266
95	0.7126595947405195	0.4490292823514015	0.7557117750439367	0.5735713227042707	0.48031496062992124	0.22344322344322345	0.18010252476299582	0.22344322344322345	0.305
160	0.7196298884160156	0.47368335855534827	0.773286467486819	0.6264964322767791	0.5433526011560693	0.3443223443223443	0.289249316129657	0.3443223443223443	0.42152466367713
