SMILES
CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
C1CCC2=NC3=CC=CC=C3C(=C2C1)N
CC(=O)NC1=CC=C(C=C1)O
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
CN1C2=C(C(=O)N(C1=O)C)NC=N2
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3
C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
CC(=O)OC1=CC=CC=C1C(=O)O
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
C(CCCC(=O)O)CCCC(=O)O
CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
C1=CC(=CC=C1C(CC(=O)O)CN)Cl
C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br
CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
CS(=O)(=O)OCCCCOS(=O)(=O)C
CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C
CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
CCCC(C)(COC(=O)N)COC(=O)NC(C)C
CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
