C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:73: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:76: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.8718, 0.8985, 0.9483,  ..., 0.9753, 0.9959, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5098387002944946 accuracy: 0.9424618000979155
(2688, 128)
lenth 2688
pot 537
C:\Users\juneli\Anaconda\envs\pytorch\lib\site-packages\torch\nn\modules\conv.py:440: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at  ..\aten\src\ATen\native\Convolution.cpp:660.)
  self.padding, self.dilation, self.groups)
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  29 |loss:  0.5790842771530151 | accuracy_train:  0.5145631067961165 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  30 |loss:  0.6056424379348755 | accuracy_train:  0.4368932038834951 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  31 |loss:  0.5459352731704712 | accuracy_train:  0.5145631067961165 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  32 |loss:  0.6324487328529358 | accuracy_train:  0.5631067961165048 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  33 |loss:  0.6105194687843323 | accuracy_train:  0.49514563106796117 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  34 |loss:  0.5618079304695129 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  35 |loss:  0.6082833409309387 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  36 |loss:  0.6194116473197937 | accuracy_train:  0.49514563106796117 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  37 |loss:  0.6471624374389648 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  38 |loss:  0.5948337316513062 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
