C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:72: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:75: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.9499, 0.9660, 0.9875,  ..., 0.9915, 0.9993, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5053110718727112 accuracy: 0.97219717075936
lenth 5693
pot 1138
Epoch GAE :  0 | cross validation:  0 | Epoch:  35 |loss:  0.40208685398101807 | accuracy_train:  0.76 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  36 |loss:  0.3961319029331207 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  37 |loss:  0.5316570401191711 | accuracy_train:  0.64 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  38 |loss:  0.4979477822780609 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  39 |loss:  0.43923595547676086 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  40 |loss:  0.46710875630378723 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  41 |loss:  0.40586942434310913 | accuracy_train:  0.84 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  42 |loss:  0.4713881313800812 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  43 |loss:  0.41194987297058105 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  44 |loss:  0.34079086780548096 | accuracy_train:  0.8133333333333334 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  45 |loss:  0.37128499150276184 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  46 |loss:  0.2826124131679535 | accuracy_train:  0.8666666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  47 |loss:  0.4007791578769684 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  48 |loss:  0.3762246072292328 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  49 |loss:  0.426803857088089 | accuracy_train:  0.72 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  50 |loss:  0.5523960590362549 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  51 |loss:  0.32297182083129883 | accuracy_train:  0.8 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  52 |loss:  0.3905414640903473 | accuracy_train:  0.76 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  53 |loss:  0.3649984300136566 | accuracy_train:  0.8 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  54 |loss:  0.370143860578537 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  55 |loss:  0.3741529583930969 | accuracy_train:  0.7066666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  56 |loss:  0.3055124580860138 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  57 |loss:  0.28126004338264465 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  58 |loss:  0.3468761742115021 | accuracy_train:  0.8533333333333334 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  59 |loss:  0.41416141390800476 | accuracy_train:  0.68 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  60 |loss:  0.26928234100341797 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  61 |loss:  0.3449762165546417 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  62 |loss:  0.5497661232948303 | accuracy_train:  0.5866666666666667 | accuracy_test:  0.7618629173989455
